Date Essai;14/11/2021;;;;;;;;
Heure Essai;10:21;;;;;;;;
Frequence (Hz);1000.0;;;;;;;;
Fonctionnement;Uhing;;;;;;;;
Type Pilotage;Creneau;;;;;;;;
Nb cycles;1;;;;;;;;
Duree de marche (s);5.00;;;;;;;;
Duree d'arret (s);1.00;;;;;;;;
Vitesse (tr/min);1000.0;;;;;;;;
 ;;;;;;;;;
Nb points de consigne;2001;;;;;;;;
dt consigne;0.003;;;;;;;;
Temps (s);Consigne (tr/min);Vitesse du moteur (tr/min);Vitesse lineaire (mm/s);Courant (A);Angle (deg);Vitesse lineaire calculee (mm/s);Vitesse de glissement (mm/s);Deplacement (mm);Pas (mm)
0.0570;1000.000;1052.495;81.621;10.788;5.735;83.022;1.401;2.407;4.733
0.0580;1000.000;1066.319;79.505;10.741;5.735;84.112;4.607;2.487;4.733
0.0590;1000.000;1079.267;81.621;10.733;5.735;85.134;3.513;2.568;4.733
0.0600;1000.000;1098.445;81.621;10.474;5.763;87.065;5.444;2.650;4.756
0.0610;1000.000;1103.313;82.716;10.474;5.763;87.451;4.734;2.733;4.756
0.0620;1000.000;1103.313;82.981;10.128;5.758;87.383;4.402;2.816;4.752
0.0630;1000.000;1123.172;82.981;8.248;5.758;88.956;5.975;2.899;4.752
0.0640;1000.000;1123.172;87.855;7.148;5.758;88.956;1.102;2.987;4.752
0.0650;1000.000;1124.049;89.933;6.568;5.745;88.820;-1.113;3.077;4.741
0.0660;1000.000;1141.572;89.933;5.413;5.704;89.561;-0.371;3.166;4.707
0.0670;1000.000;1142.935;87.855;4.972;5.704;89.668;1.814;3.254;4.707
0.0680;1000.000;1149.165;89.933;4.875;5.704;90.157;0.225;3.344;4.707
0.0690;1000.000;1146.050;92.842;4.396;5.701;89.860;-2.981;3.437;4.705
0.0700;1000.000;1146.050;94.202;3.528;5.701;89.860;-4.342;3.531;4.705
0.0710;1000.000;1149.165;94.202;2.625;5.704;90.157;-4.045;3.625;4.707
0.0720;1000.000;1146.050;92.842;2.205;5.712;90.035;-2.807;3.718;4.714
0.0730;1000.000;1146.050;92.842;1.915;5.712;90.035;-2.807;3.811;4.714
0.0740;1000.000;1146.050;94.202;1.850;5.712;90.035;-4.167;3.905;4.714
0.0750;1000.000;1144.590;94.466;1.740;5.712;89.920;-4.546;4.000;4.714
